model_name,target_column,accuracy,precision,recall,f1,auc,log_loss,test_samples,positive_samples,evaluation_time,timestamp
random_forest,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.9032258064516129,0.09082899327989195,96,3,0.038392,2025-07-04T12:17:31.489720
logistic_regression,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.5,0.22416202326317203,96,3,0.004177,2025-07-04T12:17:31.494063
xgboost,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.5,0.13956890229335572,96,3,0.006003,2025-07-04T12:17:31.500149
random_forest,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.9032258064516129,0.09082899327989195,96,3,0.038103,2025-07-04T12:17:31.538392
xgboost,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.5,0.13956890229335572,96,3,0.00482,2025-07-04T12:17:31.543390
logistic_regression,goal_next_5min_any,0.96875,0.0,0.0,0.0,0.5,0.22416202326317203,96,3,0.003403,2025-07-04T12:17:31.546895
xgboost,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,0.1764858962666577,96,21,0.009391,2025-07-04T12:17:31.556357
logistic_regression,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,0.2028603401996969,96,21,0.008073,2025-07-04T12:17:31.564547
random_forest,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16,96,21,0.04392,2025-07-04T12:17:31.608551
logistic_regression,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,0.2028603401996969,96,21,0.008477,2025-07-04T12:17:31.617208
random_forest,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,9.992007221626413e-16,96,21,0.044306,2025-07-04T12:17:31.661646
xgboost,goal_next_15min_any,1.0,1.0,1.0,1.0,1.0,0.1764858962666577,96,21,0.009732,2025-07-04T12:17:31.671544
