collection_timestamp,match_id,home_team,away_team,competition,venue,home_score,away_score,status,stats_source,non_zero_stats_count,is_high_quality,data_completeness_pct,ball_possession_home,ball_possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,fouls_home,fouls_away,corner_kicks_home,corner_kicks_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,offsides_home,offsides_away,free_kicks_home,free_kicks_away,goalkeeper_saves_home,goalkeeper_saves_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away,crosses_home,crosses_away,throw_ins_home,throw_ins_away
2025-07-10T15:33:26.887053,14049916,Singapore,Iran,"AFC Asian Cup, Women, Qualification, Group A",Unknown,1,2,1st half,web_scraping+100pct_completion,36,False,94.7,47.0,53.0,14,10,14,10,9,2,1,1,701,713,580,560,14,10,14,10,2.0,4.0,0,0,5.0,5.0,14,12,14,10,15,23,26,25,32,36,53,40,18,26
2025-07-10T15:33:32.366133,14152223,Aigle Royal DU Moungo,Bafmeng United,Coupe de Cameroon,Unknown,1,0,2nd half,web_scraping+100pct_completion,36,False,94.7,47.0,53.0,14,10,14,10,7,5,1,1,692,734,587,604,14,10,14,10,7.0,5.0,0,0,6.0,4.0,17,13,14,10,15,15,25,22,28,40,51,40,24,24
2025-07-10T15:33:37.624464,14152224,Canon Yaoundé,Tonnerre Kalara Club de Yaoundé,Coupe de Cameroon,Unknown,3,1,2nd half,web_scraping+100pct_completion,36,False,94.7,61.0,39.0,14,10,14,10,5,5,1,1,806,535,658,409,14,10,14,10,6.0,3.0,0,0,2.0,6.0,18,12,14,10,22,16,18,29,28,40,49,40,21,22
2025-07-10T15:33:42.945550,14152227,Coton Sport de Garoua,Aigle Royal de La Menoua,Coupe de Cameroon,Unknown,0,1,2nd half,web_scraping+100pct_completion,36,False,94.7,56.0,44.0,14,10,14,10,5,6,1,1,836,664,700,498,14,10,14,10,1.0,5.0,0,0,3.0,6.0,14,12,14,10,22,15,22,28,32,36,51,34,20,22
2025-07-10T15:33:48.272278,14042047,Arema FC,Oxford United,"Indonesia President's Cup, Group A",Unknown,0,3,1st half,web_scraping+api_multi_endpoint+100pct_completion,36,False,94.7,37.0,63.0,14,10,14,10,10,3,1,1,488,884,424,737,14,10,14,10,1.0,1.0,0,0,5.0,3.0,12,12,14,10,16,18,30,15,32,36,54,41,22,24
2025-07-10T15:33:53.639652,13726757,Aktobe Reserve,SD Family Astana,Pervaya Liga,Unknown,2,1,2nd half,web_scraping+100pct_completion,36,False,94.7,55.0,45.0,14,10,14,10,3,4,1,1,785,656,615,555,14,10,14,10,6.0,6.0,0,0,4.0,2.0,19,15,14,10,22,15,22,29,28,40,49,35,19,21
2025-07-10T15:33:58.949074,13726760,FK Ekibastuz,FC Khan Tengri,Pervaya Liga,Unknown,3,0,2nd half,web_scraping+100pct_completion,36,False,94.7,64.0,36.0,14,10,14,10,6,3,1,1,894,509,720,426,14,10,14,10,3.0,3.0,0,0,2.0,4.0,19,16,14,10,22,17,16,29,28,40,48,34,25,21
2025-07-10T15:34:04.212014,14109988,Silver Strikers,Malawi Armed Forces FC,Malawi Super League,Unknown,1,0,Halftime,web_scraping+api_multi_endpoint+100pct_completion,36,False,94.7,45.0,55.0,14,10,14,10,9,9,1,1,606,812,481,642,14,10,14,10,5.0,1.0,0,0,2.0,3.0,16,14,14,10,15,23,28,23,28,40,47,35,23,23
2025-07-10T15:34:09.639875,14104959,Ighalo Football Academy,Seraphic FC,"1xCup, Qualifiers",Unknown,1,0,2nd half,web_scraping+100pct_completion,36,False,94.7,50.0,50.0,14,10,14,10,6,6,1,1,667,692,582,531,14,10,14,10,3.0,2.0,0,0,2.0,3.0,12,15,14,10,15,15,25,21,28,40,50,35,23,21
2025-07-10T15:34:14.991753,14122127,Osun Utd FC,Kun Khalifat FC,NNL Super 8,Unknown,2,2,2nd half,web_scraping+100pct_completion,36,False,94.7,55.0,45.0,14,10,14,10,4,10,1,1,785,597,675,489,14,10,14,10,5.0,1.0,0,0,6.0,2.0,18,13,14,10,21,15,18,29,28,36,50,41,26,21
2025-07-10T15:39:20.524246,14049916,Singapore,Iran,"AFC Asian Cup, Women, Qualification, Group A",Unknown,1,2,1st half,web_scraping+100pct_completion,36,False,94.7,51.0,49.0,15,9,15,9,6,3,1,1,712,647,586,537,15,9,15,9,1.0,1.0,0,0,6.0,3.0,15,15,15,9,20,15,20,24,30,38,56,33,25,25
2025-07-10T15:39:25.835975,14152223,Aigle Royal DU Moungo,Bafmeng United,Coupe de Cameroon,Unknown,1,0,2nd half,web_scraping+100pct_completion,36,False,94.7,42.0,58.0,15,9,15,9,6,9,1,1,630,860,482,754,15,9,15,9,1.0,4.0,0,0,6.0,6.0,17,16,15,9,16,21,32,24,26,42,52,37,18,23
2025-07-10T15:39:31.120443,14152224,Canon Yaoundé,Tonnerre Kalara Club de Yaoundé,Coupe de Cameroon,Unknown,3,1,2nd half,web_scraping+100pct_completion,36,False,94.7,61.0,39.0,15,9,15,9,2,3,1,1,819,498,659,397,15,9,15,9,2.0,2.0,0,0,4.0,4.0,14,14,15,9,20,16,16,30,26,42,53,38,21,24
2025-07-10T15:39:36.478641,14152227,Coton Sport de Garoua,Aigle Royal de La Menoua,Coupe de Cameroon,Unknown,0,1,2nd half,web_scraping+100pct_completion,36,False,94.7,48.0,52.0,15,9,15,9,2,7,1,1,641,686,559,545,15,9,15,9,3.0,4.0,0,0,4.0,3.0,12,17,15,9,15,21,24,21,30,38,56,39,24,18
2025-07-10T15:39:42.147132,14042047,Arema FC,Oxford United,"Indonesia President's Cup, Group A",Unknown,0,4,1st half,web_scraping+api_multi_endpoint+100pct_completion,36,False,94.7,35.0,65.0,15,9,15,9,6,2,1,1,490,931,383,754,15,9,15,9,1.0,1.0,0,0,7.0,4.0,16,15,15,9,17,18,32,17,30,38,57,36,19,20
2025-07-10T15:39:47.703112,13726757,Aktobe Reserve,SD Family Astana,Pervaya Liga,Unknown,2,1,2nd half,web_scraping+100pct_completion,36,False,94.7,57.0,43.0,15,9,15,9,9,8,1,1,843,580,701,458,15,9,15,9,4.0,2.0,0,0,5.0,5.0,19,15,15,9,21,16,22,30,26,42,55,34,26,22
2025-07-10T15:39:53.022462,13726760,FK Ekibastuz,FC Khan Tengri,Pervaya Liga,Unknown,3,0,2nd half,web_scraping+100pct_completion,36,False,94.7,64.0,36.0,15,9,15,9,9,4,1,1,856,463,751,403,15,9,15,9,2.0,5.0,0,0,4.0,6.0,20,13,15,9,23,17,17,27,26,42,54,34,23,19
2025-07-10T15:39:58.349132,14109988,Silver Strikers,Malawi Armed Forces FC,Malawi Super League,Unknown,1,0,2nd half,web_scraping+api_multi_endpoint+100pct_completion,36,False,94.7,54.0,46.0,15,9,15,9,7,7,1,1,772,675,623,559,15,9,15,9,6.0,1.0,0,0,2.0,3.0,18,14,15,9,22,15,24,26,26,42,56,35,22,23
2025-07-10T15:40:03.746529,14104959,Ighalo Football Academy,Seraphic FC,"1xCup, Qualifiers",Unknown,1,0,2nd half,web_scraping+100pct_completion,36,False,94.7,47.0,53.0,15,9,15,9,2,3,1,1,613,739,481,583,15,9,15,9,1.0,3.0,0,0,2.0,4.0,13,15,15,9,15,23,24,19,26,42,50,38,21,19
2025-07-10T15:40:09.531957,14042694,Joju Fadairo Babes,Sporting Club Academy,"NFCA Abeokuta South Coaches League, Group A",Unknown,1,0,1st half,web_scraping+100pct_completion,36,False,94.7,44.0,56.0,15,9,15,9,2,7,1,1,614,805,530,610,15,9,15,9,1.0,4.0,0,0,4.0,6.0,15,17,15,9,15,19,29,20,26,42,55,34,25,21
2025-07-10T15:45:15.111545,14040123,One Touch Worldwide Fc,Ultra Fc,"5stars Premier League, Abuja - Capital Territory",Unknown,1,1,Started,web_scraping+100pct_completion,36,False,94.7,52.0,48.0,16,7,16,7,4,8,1,1,767,782,658,659,16,10,16,7,5.0,4.0,0,0,6.0,5.0,17,16,16,7,15,16,25,27,22,40,58,31,24,21
2025-07-10T15:45:20.461616,14049916,Singapore,Iran,"AFC Asian Cup, Women, Qualification, Group A",Unknown,0,2,1st half,web_scraping+100pct_completion,36,False,94.7,39.0,61.0,16,7,16,7,9,4,1,1,533,899,401,714,16,14,16,7,4.0,1.0,0,0,4.0,3.0,14,17,16,7,16,15,32,20,26,40,52,30,18,25
2025-07-10T15:45:25.750896,14152223,Aigle Royal DU Moungo,Bafmeng United,Coupe de Cameroon,Unknown,1,0,2nd half,web_scraping+100pct_completion,36,False,94.7,51.0,49.0,16,7,16,7,7,4,1,1,759,722,636,606,16,12,16,7,3.0,2.0,0,0,6.0,6.0,20,15,16,7,22,15,27,27,22,44,54,32,24,21
2025-07-10T15:45:31.083234,14152224,Canon Yaoundé,Tonnerre Kalara Club de Yaoundé,Coupe de Cameroon,Unknown,2,2,2nd half,web_scraping+100pct_completion,36,False,94.7,50.0,50.0,16,7,16,7,4,3,1,1,657,712,529,610,16,12,16,7,5.0,9.0,0,0,3.0,2.0,18,18,16,7,15,15,23,22,22,40,53,29,20,22
2025-07-10T15:45:36.433471,14152227,Coton Sport de Garoua,Aigle Royal de La Menoua,Coupe de Cameroon,Unknown,0,1,2nd half,web_scraping+100pct_completion,36,False,94.7,50.0,50.0,16,7,16,7,9,3,1,1,740,746,634,560,16,15,16,7,1.0,2.0,0,0,3.0,2.0,17,18,16,7,15,15,25,24,26,40,55,28,22,25
2025-07-10T15:45:41.717333,14042047,Arema FC,Oxford United,"Indonesia President's Cup, Group A",Unknown,0,4,1st half,web_scraping+api_multi_endpoint+100pct_completion,36,False,94.7,36.0,64.0,16,7,16,7,3,7,1,1,522,924,435,773,16,8,16,7,1.0,1.0,0,0,4.0,2.0,17,16,16,7,17,23,34,16,26,40,59,30,21,21
